panjivarecordid,arrivaldate,conname,shpname,con_ciqid,shp_ciqid,hs6,hs2,n_hs6,shpmtorigin,weightkg,valueofgoodsusd,unit,relationship
267841310,2024-03-11,Oxbow Calcining Llc,Oxbow Energy Solutions B.V.,242268354,8174191,300490,30,1,Netherlands,20292972.0,994437000.0,49.004009861147985,within_firm
282335346,2024-10-07,Siemens Gamesa Renewable Energy In,Siemens Gamesa Renewable Energy A S,546694000,5510381,846729,84,1,Denmark,60891248.0,993806000.0,16.320999037497145,arms_length
277400637,2024-07-29,Oxbow Calcining Llc,Petroleum Coke Industries Co.,242268354,22428048,300490,30,1,Kuwait,22668000.0,940903000.0,41.507984824422095,arms_length
287952197,2024-12-04,Arcelormittal Texas Hbi Llc,Samarco Mineracao SA,1831072168,,847989,84,1,Brazil,108225000.0,909848000.0,8.407003927003927,unmatched
266702377,2024-02-17,Oxbow Calcining Llc,Oxbow Brasil Energia Industries E,242268354,,300490,30,1,Brazil,18315000.0,897508000.0,49.003985803985806,unmatched
287485445,2024-11-15,Arcelormittal Texas Hbi Llc,Samarco Mineracao SA,1831072168,,847989,84,1,Brazil,108225000.0,878029000.0,8.112996072996072,unmatched
271921108,2024-05-18,Oxbow Calcining Llc,Oxbow Brasil Energia Industria E Comercio Ltda,242268354,,300490,30,1,Brazil,17968300.0,857735000.0,47.73601286710485,unmatched
282907636,2024-10-13,Valenz Corp.,Methanol Holdings (Trinidad) Ltd.,,,382219,38,1,Trinidad and Tobago,16517390.0,842651000.0,51.0159898143714,unmatched
287241407,2024-11-27,,Vale SA,,874225,845590,84,1,Brazil,73505000.0,829504000.0,11.285001020338752,unmatched
272872208,2024-06-03,,Holland Houseboat,,683043442,890332,89,1,Netherlands,15000000.0,828300000.0,55.22,unmatched
270496360,2024-04-29,Oxbow Calcining Llc,Oxbow Brazil Energia Industria E,242268354,,300490,30,1,Brazil,17883000.0,819149000.0,45.80601688754683,unmatched
273582006,2024-06-13,,,,,841410,84,1,United States,98886230.0,806121000.0,8.152004581426555,unmatched
268551407,2024-03-28,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,60200000.0,802767000.0,13.335,arms_length
267849911,2024-03-11,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,59496712.0,793389000.0,13.335005806707436,arms_length
267243673,2024-03-01,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,57950000.0,772763000.0,13.334995685936152,arms_length
268737984,2024-03-08,Alcoa Carbon Products,Bp Energia Espana S.A.U,,5490278,300490,30,1,Spain,15751171.0,771870000.0,49.00397564092219,unmatched
271068831,2024-04-27,,Fuerza Tarea Conjunta Bravo,,,842710,84,1,Honduras,77109000.0,745413000.0,9.667003851690463,unmatched
267950490,2024-03-16,Houston Cement Co.,Cty Tnhh Cong Nghiep Long Son,28943272,,382450,38,1,Vietnam,51400000.0,716362000.0,13.937003891050583,unmatched
275388074,2024-07-06,Surface Deployment And Distribution,Surface Deployment And Distribution,331869254,331869254,870323,87,1,United States,49769344.0,712647000.0,14.318995243336943,within_firm
279854616,2024-09-06,Oxbow Calcining Llc,Petroleum Coke Industries Co.,242268354,22428048,300490,30,1,Kuwait,17332000.0,701097000.0,40.4510154627279,arms_length
266887877,2024-02-24,Riverside Constructions,Medcem Global Pazari Ama A.S.,365144198,,382450,38,1,Turkey,49748000.0,693338000.0,13.937002492562515,unmatched
279241712,2024-08-27,Alcoa Carbon Products,Bp Energia Espana S.A.U,,5490278,300490,30,1,Spain,15749497.0,688222000.0,43.69803048313226,unmatched
